username,comments_count,mentions_count,unique_mentions_count,extra_chances,total_chances
matheussilvabritto158,91,91,86,43,44
vinarasilva05,26,52,49,24,25
mayume__cardoso,43,44,44,22,23
claudia.souza140,18,36,36,18,19
othaysvitoria,18,36,36,18,19
_tinaagn,31,31,27,13,14
erika_.souza15,22,22,22,11,12
_rainarafsouzaa_,21,21,21,10,11
vivianesantana20,10,20,20,10,11
trancasafro27,9,18,18,9,10
ariadine_rl,8,16,16,8,9
jaquef.rocha2911,8,16,16,8,9
jeisiane920,8,16,16,8,9
badegalopes,7,14,14,7,8
thay.goncalvesx,13,14,14,7,8
_pvd_milaa0,13,13,13,6,7
pvm_sillvaa,6,12,12,6,7
melissakiermellym,5,10,10,5,6
dossantos8433,6,12,9,4,5
hemily_gomes10,8,8,8,4,5
kevelin.fernandes.94,4,8,8,4,5
martinanavitoria987,7,7,6,3,4
_kedymaa,4,8,4,2,3
campos.tatyane,2,4,4,2,3
crislaineholanda567,2,4,4,2,3
dayanenepumuceno,2,4,4,2,3
eu_victoria.d,3,6,5,2,3
gabriely_pereira_da_cruz,4,4,4,2,3
karen_silva_lopes____,2,4,4,2,3
ragomarcal,2,4,4,2,3
_eybruna,1,2,2,1,2
alvex_067,1,2,2,1,2
alynne_torres0,1,2,2,1,2
alyson_f.20,1,2,2,1,2
amandinha_guedes_9,2,2,2,1,2
bruno_ssalles,1,2,2,1,2
cris_e_gilvan_s2,1,2,2,1,2
itaa_skyyy,1,2,2,1,2
joannamiyasatoo,2,2,2,1,2
nalandaalvim805,1,2,2,1,2
nete_goncalves1,1,2,2,1,2
pekena7840,2,3,3,1,2
reginagomesfelix,1,2,2,1,2
rezendeeay,3,3,3,1,2
viii_pedroso25,1,2,2,1,2
vitorp_rlima_,2,2,2,1,2
weliton_montes,2,2,2,1,2
